epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,18029.9,1.62878,1.58383,1.42383,0.63955,0.44794,0.47375,0.26307,1.67475,1.50856,1.47551,0.00812468,0.00812468,0.00812468
88,18236,1.62548,1.5826,1.41992,0.63945,0.44823,0.47346,0.26301,1.67476,1.50874,1.47515,0.00808389,0.00808389,0.00808389
89,18442.5,1.62684,1.58097,1.42269,0.64268,0.44795,0.4738,0.26322,1.67527,1.50797,1.47507,0.00804277,0.00804277,0.00804277
90,18648.5,1.62556,1.57402,1.41817,0.64382,0.44707,0.47432,0.26317,1.67563,1.508,1.47493,0.00800131,0.00800131,0.00800131
91,18855.4,1.62472,1.57424,1.41941,0.63977,0.45008,0.47473,0.26352,1.6759,1.50775,1.47501,0.00795954,0.00795954,0.00795954
92,19061.7,1.62018,1.56759,1.41588,0.64113,0.44826,0.47492,0.2635,1.67606,1.5073,1.47476,0.00791744,0.00791744,0.00791744
93,19268.2,1.61255,1.56397,1.41372,0.64003,0.44888,0.47473,0.26331,1.6767,1.50682,1.47489,0.00787503,0.00787503,0.00787503
94,19474.8,1.62147,1.56788,1.41666,0.65008,0.44392,0.4743,0.263,1.67754,1.50657,1.47524,0.00783231,0.00783231,0.00783231
95,19682.3,1.61501,1.55671,1.41145,0.64933,0.44388,0.47457,0.26319,1.67811,1.5063,1.47515,0.00778929,0.00778929,0.00778929
96,19888.7,1.6139,1.55387,1.41661,0.64954,0.44385,0.47372,0.26303,1.67905,1.50611,1.47563,0.00774596,0.00774596,0.00774596
97,20095,1.61317,1.55179,1.41201,0.64493,0.4474,0.4737,0.26287,1.6798,1.50642,1.47584,0.00770234,0.00770234,0.00770234
98,20301.3,1.60774,1.54055,1.40633,0.64414,0.4471,0.47339,0.26291,1.68076,1.50548,1.47599,0.00765843,0.00765843,0.00765843
99,20508.4,1.60945,1.54298,1.40546,0.64468,0.44546,0.47334,0.26315,1.68143,1.50519,1.47605,0.00761423,0.00761423,0.00761423
100,20714.8,1.60334,1.53784,1.40719,0.64693,0.44419,0.47298,0.26302,1.68226,1.50485,1.47629,0.00756976,0.00756976,0.00756976
101,20921.2,1.60484,1.53227,1.40317,0.64378,0.44512,0.47272,0.26308,1.68306,1.50438,1.47657,0.007525,0.007525,0.007525
102,21127.4,1.6045,1.53553,1.40353,0.63698,0.44902,0.47349,0.26335,1.6835,1.5041,1.47676,0.00747997,0.00747997,0.00747997
103,21334.2,1.6008,1.5212,1.40091,0.63203,0.45012,0.47353,0.26342,1.68402,1.50357,1.47679,0.00743468,0.00743468,0.00743468
104,21540.5,1.60255,1.52367,1.39671,0.63463,0.44936,0.47339,0.26357,1.68454,1.50334,1.477,0.00738913,0.00738913,0.00738913
105,21746.7,1.59134,1.51374,1.39645,0.63545,0.45127,0.47372,0.26344,1.68525,1.50285,1.47709,0.00734332,0.00734332,0.00734332
106,21952.7,1.59348,1.5146,1.39603,0.6377,0.44933,0.47355,0.26327,1.68616,1.50275,1.47753,0.00729725,0.00729725,0.00729725
107,22159.9,1.59554,1.5156,1.39946,0.6374,0.44912,0.47332,0.2632,1.68683,1.50266,1.47768,0.00725094,0.00725094,0.00725094
108,22365.9,1.59275,1.51112,1.39552,0.6349,0.45213,0.47327,0.26329,1.68738,1.50211,1.47756,0.00720439,0.00720439,0.00720439
109,22572.2,1.58883,1.50944,1.3961,0.63581,0.45245,0.47365,0.26344,1.68822,1.50191,1.47806,0.00715761,0.00715761,0.00715761
110,22778.9,1.58565,1.50309,1.38988,0.6403,0.44988,0.47376,0.26378,1.68893,1.50181,1.47824,0.00711059,0.00711059,0.00711059
111,22986,1.58699,1.49774,1.38987,0.63994,0.45285,0.47342,0.26312,1.68966,1.50203,1.47819,0.00706335,0.00706335,0.00706335
112,23192.4,1.58277,1.48837,1.38443,0.63727,0.45406,0.47382,0.26323,1.69052,1.502,1.47832,0.00701588,0.00701588,0.00701588
113,23398.8,1.5864,1.48393,1.38602,0.63803,0.453,0.47366,0.26313,1.69146,1.50167,1.47843,0.0069682,0.0069682,0.0069682
114,23605.1,1.58404,1.48669,1.385,0.64156,0.45154,0.47329,0.2629,1.69254,1.50144,1.47857,0.00692031,0.00692031,0.00692031
115,23812.1,1.58181,1.47866,1.38336,0.649,0.44757,0.47342,0.26293,1.69393,1.50123,1.47921,0.00687222,0.00687222,0.00687222
116,24018.7,1.57548,1.47225,1.38151,0.65095,0.44677,0.47345,0.26297,1.69482,1.50185,1.47947,0.00682392,0.00682392,0.00682392
117,24225,1.57299,1.46814,1.38024,0.64549,0.44796,0.4734,0.26296,1.69596,1.50186,1.47975,0.00677543,0.00677543,0.00677543
118,24428.9,1.57164,1.4668,1.3802,0.64727,0.44643,0.4733,0.26299,1.69666,1.50229,1.48011,0.00672675,0.00672675,0.00672675
119,24627.7,1.56939,1.46093,1.37444,0.65112,0.44508,0.47355,0.26309,1.6976,1.5028,1.48037,0.00667789,0.00667789,0.00667789
120,24833.9,1.56533,1.45391,1.36969,0.65176,0.44383,0.47356,0.26301,1.69858,1.50324,1.48053,0.00662885,0.00662885,0.00662885
121,25040.5,1.56417,1.44994,1.37159,0.64728,0.44807,0.47381,0.26295,1.69957,1.50322,1.48078,0.00657963,0.00657963,0.00657963
122,25247,1.5634,1.45811,1.37021,0.64474,0.44773,0.47353,0.26292,1.70023,1.50368,1.48093,0.00653025,0.00653025,0.00653025
123,25453.2,1.5582,1.44286,1.36889,0.6446,0.44899,0.47369,0.263,1.70139,1.50384,1.48134,0.00648071,0.00648071,0.00648071
124,25652,1.56249,1.44791,1.3714,0.64533,0.44708,0.47343,0.26313,1.70198,1.50445,1.48142,0.00643101,0.00643101,0.00643101
125,25855.1,1.55886,1.4345,1.36471,0.64282,0.4488,0.47311,0.26289,1.70296,1.50471,1.48195,0.00638115,0.00638115,0.00638115
126,26060.9,1.5554,1.43419,1.36126,0.64427,0.44724,0.47316,0.26275,1.70399,1.50535,1.48245,0.00633115,0.00633115,0.00633115
127,26266.9,1.55447,1.42848,1.36267,0.64852,0.44534,0.4736,0.26252,1.70505,1.50568,1.48302,0.00628101,0.00628101,0.00628101
128,26473.3,1.55291,1.42902,1.3597,0.64648,0.44577,0.47313,0.26266,1.70589,1.50652,1.48313,0.00623074,0.00623074,0.00623074
129,26679.1,1.55376,1.42724,1.36193,0.64943,0.4455,0.47205,0.26248,1.70678,1.50719,1.48346,0.00618034,0.00618034,0.00618034
130,26884.9,1.54695,1.42202,1.35707,0.64853,0.44724,0.47245,0.26223,1.70743,1.50742,1.48356,0.00612981,0.00612981,0.00612981
131,27090.5,1.5462,1.42098,1.35906,0.64959,0.4467,0.47249,0.26215,1.7083,1.50717,1.48384,0.00607916,0.00607916,0.00607916
132,27296.7,1.54521,1.41339,1.35737,0.5526,0.44542,0.47236,0.26192,1.70908,1.50727,1.48429,0.0060284,0.0060284,0.0060284
133,27502.7,1.53858,1.40002,1.34893,0.54996,0.44439,0.47212,0.26186,1.70996,1.50755,1.48457,0.00597754,0.00597754,0.00597754
134,27708,1.54075,1.40149,1.35009,0.54923,0.44298,0.47179,0.26163,1.71116,1.50756,1.48501,0.00592657,0.00592657,0.00592657
135,27914,1.53979,1.40202,1.34993,0.54891,0.44287,0.47112,0.26147,1.71202,1.50785,1.48514,0.00587551,0.00587551,0.00587551
136,28119.7,1.53714,1.40472,1.34925,0.54962,0.44196,0.46984,0.26099,1.71309,1.5082,1.48518,0.00582435,0.00582435,0.00582435
137,28325.4,1.53026,1.38413,1.34533,0.55541,0.4424,0.46991,0.26081,1.71431,1.50909,1.48551,0.00577311,0.00577311,0.00577311
138,28532.1,1.53372,1.38395,1.3445,0.55781,0.44108,0.46989,0.26083,1.71565,1.50964,1.48611,0.00572179,0.00572179,0.00572179
139,28737.9,1.53254,1.38315,1.34449,0.5589,0.4412,0.46941,0.26079,1.71692,1.50997,1.48655,0.0056704,0.0056704,0.0056704
140,28941.2,1.52763,1.37973,1.3409,0.55968,0.44085,0.46935,0.26061,1.71793,1.51001,1.48709,0.00561894,0.00561894,0.00561894
141,29139.5,1.53284,1.38375,1.34138,0.56104,0.43931,0.46901,0.26031,1.71891,1.51053,1.48754,0.00556742,0.00556742,0.00556742
142,29344.3,1.52337,1.36921,1.33829,0.55943,0.43977,0.46853,0.26037,1.72006,1.51152,1.48773,0.00551584,0.00551584,0.00551584
